TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2018-03-28 17:30:49.569,0.70783633,0.57793057,-0.024652088,0.843338,0.14293194,-0.33139187,-0.46275964,0.3351874,0.49223804,-0.26441175,-0.37747395,0.5812739,0.29504183,-0.48589867,-0.32227466,0.43033567,-0.015254733,-0.72340167,-0.7265103,0.27405995,860.65936,853.4066,855.0183,865.09155,839.304,-0.084716796875,0.11993408203125,0.992431640625,-0.456085205078125,2.38510131835937,3.50662231445312,1,1,1,1,1,41.25,
2018-03-28 17:30:49.571,0.70783633,0.57793057,-0.024652088,0.843338,0.14293194,-0.33139187,-0.46275964,0.3351874,0.49223804,-0.26441175,-0.37747395,0.5812739,0.29504183,-0.48589867,-0.32227466,0.43033567,-0.015254733,-0.72340167,-0.7265103,0.27405995,879.59705,851.79486,855.0183,873.1502,807.0696,-0.084716796875,0.11993408203125,0.992431640625,-0.456085205078125,2.38510131835937,3.50662231445312,1,1,1,1,1,41.25,
2018-03-28 17:30:49.572,0.70783633,0.57793057,-0.024652088,0.843338,0.14293194,-0.33139187,-0.46275964,0.3351874,0.49223804,-0.26441175,-0.37747395,0.5812739,0.29504183,-0.48589867,-0.32227466,0.43033567,-0.015254733,-0.72340167,-0.7265103,0.27405995,857.03296,856.2271,854.21246,853.8095,845.7509,-0.084716796875,0.11993408203125,0.992431640625,-0.456085205078125,2.38510131835937,3.50662231445312,1,1,1,1,1,41.25,
2018-03-28 17:30:49.574,0.70783633,0.57793057,-0.024652088,0.843338,0.14293194,-0.33139187,-0.46275964,0.3351874,0.49223804,-0.26441175,-0.37747395,0.5812739,0.29504183,-0.48589867,-0.32227466,0.43033567,-0.015254733,-0.72340167,-0.7265103,0.27405995,839.707,856.63007,853.8095,844.5421,850.18317,-0.084716796875,0.11993408203125,0.992431640625,-0.456085205078125,2.38510131835937,3.50662231445312,1,1,1,1,1,41.25,
2018-03-28 17:30:49.575,0.70783633,0.57793057,-0.024652088,0.843338,0.14293194,-0.33139187,-0.46275964,0.3351874,0.49223804,-0.26441175,-0.37747395,0.5812739,0.29504183,-0.48589867,-0.32227466,0.43033567,-0.015254733,-0.72340167,-0.7265103,0.27405995,847.76556,855.0183,855.0183,845.7509,847.76556,-0.084716796875,0.11993408203125,0.992431640625,-0.456085205078125,2.38510131835937,3.50662231445312,1,1,1,1,1,41.25,
2018-03-28 17:30:49.577,0.70783633,0.57793057,-0.024652088,0.843338,0.14293194,-0.33139187,-0.46275964,0.3351874,0.49223804,-0.26441175,-0.37747395,0.5812739,0.29504183,-0.48589867,-0.32227466,0.43033567,-0.015254733,-0.72340167,-0.7265103,0.27405995,865.09155,855.0183,855.0183,854.61536,824.3956,-0.084716796875,0.11993408203125,0.992431640625,-0.456085205078125,2.38510131835937,3.50662231445312,1,1,1,1,1,41.25,
2018-03-28 17:30:49.578,0.70783633,0.57793057,-0.024652088,0.843338,0.14293194,-0.33139187,-0.46275964,0.3351874,0.49223804,-0.26441175,-0.37747395,0.5812739,0.29504183,-0.48589867,-0.32227466,0.43033567,-0.015254733,-0.72340167,-0.7265103,0.27405995,882.01465,855.42126,854.61536,863.47986,853.4066,-0.084716796875,0.11993408203125,0.992431640625,-0.456085205078125,2.38510131835937,3.50662231445312,1,1,1,1,1,41.25,
2018-03-28 17:30:49.580,0.70783633,0.57793057,-0.024652088,0.843338,0.14293194,-0.33139187,-0.46275964,0.3351874,0.49223804,-0.26441175,-0.37747395,0.5812739,0.29504183,-0.48589867,-0.32227466,0.43033567,-0.015254733,-0.72340167,-0.7265103,0.27405995,854.61536,858.24176,856.2271,844.1392,886.4469,-0.084716796875,0.11993408203125,0.992431640625,-0.456085205078125,2.38510131835937,3.50662231445312,1,1,1,1,1,41.25,
2018-03-28 17:30:49.581,0.70783633,0.57793057,-0.024652088,0.843338,0.14293194,-0.33139187,-0.46275964,0.3351874,0.49223804,-0.26441175,-0.37747395,0.5812739,0.29504183,-0.48589867,-0.32227466,0.43033567,-0.015254733,-0.72340167,-0.7265103,0.27405995,834.0659,858.24176,856.63007,834.4689,876.77655,-0.084716796875,0.11993408203125,0.992431640625,-0.456085205078125,2.38510131835937,3.50662231445312,1,1,1,1,1,41.25,
2018-03-28 17:30:49.583,0.70783633,0.57793057,-0.024652088,0.843338,0.14293194,-0.33139187,-0.46275964,0.3351874,0.49223804,-0.26441175,-0.37747395,0.5812739,0.29504183,-0.48589867,-0.32227466,0.43033567,-0.015254733,-0.72340167,-0.7265103,0.27405995,841.31866,858.24176,855.82416,844.1392,872.3443,-0.084716796875,0.11993408203125,0.992431640625,-0.456085205078125,2.38510131835937,3.50662231445312,1,1,1,1,1,41.25,
2018-03-28 17:30:49.585,0.70783633,0.57793057,-0.024652088,0.843338,0.14293194,-0.33139187,-0.46275964,0.3351874,0.49223804,-0.26441175,-0.37747395,0.5812739,0.29504183,-0.48589867,-0.32227466,0.43033567,-0.015254733,-0.72340167,-0.7265103,0.27405995,849.7802,857.4359,856.63007,857.8388,902.96704,-0.084716796875,0.11993408203125,0.992431640625,-0.456085205078125,2.38510131835937,3.50662231445312,1,1,1,1,1,41.25,
2018-03-28 17:30:49.587,0.70783633,0.57793057,-0.024652088,0.843338,0.14293194,-0.33139187,-0.46275964,0.3351874,0.49223804,-0.26441175,-0.37747395,0.5812739,0.29504183,-0.48589867,-0.32227466,0.43033567,-0.015254733,-0.72340167,-0.7265103,0.27405995,875.16486,858.24176,859.45056,869.5238,872.3443,-0.08917236328125,0.11798095703125,0.993896484375,-0.31402587890625,2.7215576171875,3.53652954101562,1,1,1,1,1,41.25,
2018-03-28 17:30:49.589,0.70783633,0.57793057,-0.024652088,0.843338,0.14293194,-0.33139187,-0.46275964,0.3351874,0.49223804,-0.26441175,-0.37747395,0.5812739,0.29504183,-0.48589867,-0.32227466,0.43033567,-0.015254733,-0.72340167,-0.7265103,0.27405995,863.8828,861.06226,859.0476,852.1978,853.00366,-0.08917236328125,0.11798095703125,0.993896484375,-0.31402587890625,2.7215576171875,3.53652954101562,1,1,1,1,1,41.25,
2018-03-28 17:30:49.591,0.70783633,0.57793057,-0.024652088,0.843338,0.14293194,-0.33139187,-0.46275964,0.3351874,0.49223804,-0.26441175,-0.37747395,0.5812739,0.29504183,-0.48589867,-0.32227466,0.43033567,-0.015254733,-0.72340167,-0.7265103,0.27405995,838.0952,859.0476,856.2271,840.9158,834.4689,-0.08917236328125,0.11798095703125,0.993896484375,-0.31402587890625,2.7215576171875,3.53652954101562,1,1,1,1,1,41.25,
2018-03-28 17:30:49.601,0.70783633,0.57793057,-0.024652088,0.843338,0.14293194,-0.33139187,-0.46275964,0.3351874,0.5006991,-0.2964813,-0.46088994,0.5812739,0.29504183,-0.48589867,-0.32227466,0.43033567,-0.015254733,-0.72340167,-0.7265103,0.27405995,838.0952,859.0476,856.2271,840.9158,834.4689,-0.08917236328125,0.11798095703125,0.993896484375,-0.31402587890625,2.7215576171875,3.53652954101562,1,1,1,1,1,41.25,
2018-03-28 17:30:49.603,0.70783633,0.57793057,-0.024652088,0.843338,0.14293194,-0.33139187,-0.46275964,0.3351874,0.5006991,-0.2964813,-0.46088994,0.5812739,0.28159094,-0.50817454,-0.35375497,0.44724825,-0.015254733,-0.72340167,-0.7265103,0.27405995,838.0952,859.0476,856.2271,840.9158,834.4689,-0.08917236328125,0.11798095703125,0.993896484375,-0.31402587890625,2.7215576171875,3.53652954101562,1,1,1,1,1,41.25,
2018-03-28 17:30:49.604,0.70530564,0.526457,-0.054139055,0.84736115,0.14293194,-0.33139187,-0.46275964,0.3351874,0.5006991,-0.2964813,-0.46088994,0.5812739,0.28159094,-0.50817454,-0.35375497,0.44724825,-0.015254733,-0.72340167,-0.7265103,0.27405995,838.0952,859.0476,856.2271,840.9158,834.4689,-0.08917236328125,0.11798095703125,0.993896484375,-0.31402587890625,2.7215576171875,3.53652954101562,1,1,1,1,1,41.25,
2018-03-28 17:30:49.606,0.70530564,0.526457,-0.054139055,0.84736115,0.13590978,-0.40416777,-0.48629245,0.3039215,0.5006991,-0.2964813,-0.46088994,0.5812739,0.28159094,-0.50817454,-0.35375497,0.44724825,-0.015254733,-0.72340167,-0.7265103,0.27405995,838.0952,859.0476,856.2271,840.9158,834.4689,-0.08917236328125,0.11798095703125,0.993896484375,-0.31402587890625,2.7215576171875,3.53652954101562,1,1,1,1,1,41.25,
2018-03-28 17:30:49.607,0.70530564,0.526457,-0.054139055,0.84736115,0.13590978,-0.40416777,-0.48629245,0.3039215,0.5006991,-0.2964813,-0.46088994,0.5812739,0.28159094,-0.50817454,-0.35375497,0.44724825,-0.00582299,-0.72005475,-0.7126234,0.27723402,838.0952,859.0476,856.2271,840.9158,834.4689,-0.08917236328125,0.11798095703125,0.993896484375,-0.31402587890625,2.7215576171875,3.53652954101562,1,1,1,1,1,41.25,
2018-03-28 17:30:49.592,0.70530564,0.526457,-0.054139055,0.84736115,0.13590978,-0.40416777,-0.48629245,0.3039215,0.5006991,-0.2964813,-0.46088994,0.5812739,0.28159094,-0.50817454,-0.35375497,0.44724825,-0.00582299,-0.72005475,-0.7126234,0.27723402,840.10986,857.8388,856.2271,845.7509,823.1868,-0.08917236328125,0.11798095703125,0.993896484375,-0.31402587890625,2.7215576171875,3.53652954101562,1,1,1,1,1,41.25,
2018-03-28 17:30:49.611,0.70530564,0.526457,-0.054139055,0.84736115,0.13590978,-0.40416777,-0.48629245,0.3039215,0.5006991,-0.2964813,-0.46088994,0.5812739,0.28159094,-0.50817454,-0.35375497,0.44724825,-0.00582299,-0.72005475,-0.7126234,0.27723402,849.7802,857.4359,854.61536,853.4066,855.0183,-0.08917236328125,0.11798095703125,0.993896484375,-0.31402587890625,2.7215576171875,3.53652954101562,1,1,1,1,1,41.25,
2018-03-28 17:30:49.612,0.70530564,0.526457,-0.054139055,0.84736115,0.13590978,-0.40416777,-0.48629245,0.3039215,0.5006991,-0.2964813,-0.46088994,0.5812739,0.28159094,-0.50817454,-0.35375497,0.44724825,-0.00582299,-0.72005475,-0.7126234,0.27723402,872.74725,857.4359,850.989,861.4652,806.26373,-0.08917236328125,0.11798095703125,0.993896484375,-0.31402587890625,2.7215576171875,3.53652954101562,1,1,1,1,1,41.25,
2018-03-28 17:30:49.614,0.70530564,0.526457,-0.054139055,0.84736115,0.13590978,-0.40416777,-0.48629245,0.3039215,0.5006991,-0.2964813,-0.46088994,0.5812739,0.28159094,-0.50817454,-0.35375497,0.44724825,-0.00582299,-0.72005475,-0.7126234,0.27723402,863.47986,860.2564,851.39197,845.7509,814.7253,-0.08917236328125,0.11798095703125,0.993896484375,-0.31402587890625,2.7215576171875,3.53652954101562,1,1,1,1,1,41.25,
2018-03-28 17:30:49.615,0.70530564,0.526457,-0.054139055,0.84736115,0.13590978,-0.40416777,-0.48629245,0.3039215,0.5006991,-0.2964813,-0.46088994,0.5812739,0.28159094,-0.50817454,-0.35375497,0.44724825,-0.00582299,-0.72005475,-0.7126234,0.27723402,840.5128,860.65936,850.989,837.6923,860.2564,-0.08917236328125,0.11798095703125,0.993896484375,-0.31402587890625,2.7215576171875,3.53652954101562,1,1,1,1,1,41.25,
2018-03-28 17:30:49.616,0.70530564,0.526457,-0.054139055,0.84736115,0.13590978,-0.40416777,-0.48629245,0.3039215,0.5006991,-0.2964813,-0.46088994,0.5812739,0.28159094,-0.50817454,-0.35375497,0.44724825,-0.00582299,-0.72005475,-0.7126234,0.27723402,835.6777,858.24176,848.97437,843.3333,836.4835,-0.08917236328125,0.11798095703125,0.993896484375,-0.31402587890625,2.7215576171875,3.53652954101562,1,1,1,1,1,41.25,
2018-03-28 17:30:49.618,0.70530564,0.526457,-0.054139055,0.84736115,0.13590978,-0.40416777,-0.48629245,0.3039215,0.5006991,-0.2964813,-0.46088994,0.5812739,0.28159094,-0.50817454,-0.35375497,0.44724825,-0.00582299,-0.72005475,-0.7126234,0.27723402,840.5128,854.61536,846.9597,845.34796,813.5165,-0.08917236328125,0.11798095703125,0.993896484375,-0.31402587890625,2.7215576171875,3.53652954101562,1,1,1,1,1,41.25,
2018-03-28 17:30:49.619,0.70530564,0.526457,-0.054139055,0.84736115,0.13590978,-0.40416777,-0.48629245,0.3039215,0.5006991,-0.2964813,-0.46088994,0.5812739,0.28159094,-0.50817454,-0.35375497,0.44724825,-0.00582299,-0.72005475,-0.7126234,0.27723402,866.7033,850.989,847.76556,856.63007,851.39197,-0.08917236328125,0.11798095703125,0.993896484375,-0.31402587890625,2.7215576171875,3.53652954101562,1,1,1,1,1,41.25,
2018-03-28 17:30:49.621,0.70530564,0.526457,-0.054139055,0.84736115,0.13590978,-0.40416777,-0.48629245,0.3039215,0.5006991,-0.2964813,-0.46088994,0.5812739,0.28159094,-0.50817454,-0.35375497,0.44724825,-0.00582299,-0.72005475,-0.7126234,0.27723402,862.674,851.79486,848.97437,846.9597,853.8095,-0.08917236328125,0.11798095703125,0.993896484375,-0.31402587890625,2.7215576171875,3.53652954101562,1,1,1,1,1,41.25,
2018-03-28 17:30:49.654,0.70530564,0.526457,-0.054139055,0.84736115,0.13590978,-0.40416777,-0.48629245,0.3039215,0.5006991,-0.2964813,-0.46088994,0.5812739,0.28159094,-0.50817454,-0.35375497,0.44724825,-0.00582299,-0.72005475,-0.7126234,0.27723402,833.2601,855.0183,847.3626,830.84247,869.12085,-0.09100341796875,0.11962890625,0.9942626953125,0.43365478515625,2.83370971679687,3.46176147460937,1,1,1,1,1,41.25,
2018-03-28 17:30:49.656,0.70530564,0.526457,-0.054139055,0.84736115,0.13590978,-0.40416777,-0.48629245,0.3039215,0.5006991,-0.2964813,-0.46088994,0.5812739,0.28159094,-0.50817454,-0.35375497,0.44724825,-0.00582299,-0.72005475,-0.7126234,0.27723402,830.0366,855.42126,847.76556,836.4835,894.10254,-0.09100341796875,0.11962890625,0.9942626953125,0.43365478515625,2.83370971679687,3.46176147460937,1,1,1,1,1,41.25,
2018-03-28 17:30:49.658,0.70530564,0.526457,-0.054139055,0.84736115,0.13590978,-0.40416777,-0.48629245,0.3039215,0.5006991,-0.2964813,-0.46088994,0.5812739,0.28159094,-0.50817454,-0.35375497,0.44724825,-0.00582299,-0.72005475,-0.7126234,0.27723402,842.1245,853.8095,848.5714,845.7509,850.18317,-0.09100341796875,0.11962890625,0.9942626953125,0.43365478515625,2.83370971679687,3.46176147460937,1,1,1,1,1,41.25,
2018-03-28 17:30:49.659,0.70530564,0.526457,-0.054139055,0.84736115,0.13590978,-0.40416777,-0.48629245,0.3039215,0.5006991,-0.2964813,-0.46088994,0.5812739,0.28159094,-0.50817454,-0.35375497,0.44724825,-0.00582299,-0.72005475,-0.7126234,0.27723402,871.13556,852.6007,848.1685,861.06226,844.94507,-0.09100341796875,0.11962890625,0.9942626953125,0.43365478515625,2.83370971679687,3.46176147460937,1,1,1,1,1,41.25,
2018-03-28 17:30:49.661,0.70530564,0.526457,-0.054139055,0.84736115,0.13590978,-0.40416777,-0.48629245,0.3039215,0.5006991,-0.2964813,-0.46088994,0.5812739,0.28159094,-0.50817454,-0.35375497,0.44724825,-0.00582299,-0.72005475,-0.7126234,0.27723402,873.1502,855.82416,847.76556,857.8388,831.6484,-0.09100341796875,0.11962890625,0.9942626953125,0.43365478515625,2.83370971679687,3.46176147460937,1,1,1,1,1,41.25,
